"VM Name","Attribute","Value"
"keywatcher","Contact(s)",""
"keywatcher","Description",""
"keywatcher","Team",""
"sympa","Contact(s)",""
"sympa","Description",""
"sympa","Team",""
"New Virtual Machine","Contact(s)",""
"New Virtual Machine","Description",""
"New Virtual Machine","Team",""
"dcs04-test","Contact(s)",""
"dcs04-test","Description",""
"dcs04-test","Team",""
"dcs03-test","Contact(s)",""
"dcs03-test","Description",""
"dcs03-test","Team",""
"ansible-dev","Contact(s)",""
"ansible-dev","Description",""
"ansible-dev","Team",""
"dcs02-test","Contact(s)",""
"dcs02-test","Description",""
"dcs02-test","Team",""
"qun-test1","Contact(s)",""
"qun-test1","Description",""
"qun-test1","Team",""
